PHASE - I - Video Course######
S.No#Course_ID#Discipline_ Name#Course_Name#Professor_ Name#Phase#Type
1#122106028#Basic courses(Sem 1 and 2)#Engineering Chemistry I#Prof. K. Mangala Sunder#1#Video
2#122105023#Basic courses(Sem 1 and 2)#&Physics I - Oscillations && Waves&#Prof. S. Bharadwaj#1#Video
3#122104017#Basic courses(Sem 1 and 2)#Mathematics I#Dr. P. Shunmugaraj,Prof. Shobha Madan,Prof. Swagato K. Ray#1#Video
4#122104015#Basic courses(Sem 1 and 2)#Engineering Mechanics#Prof. Manoj K Harbola#1#Video
5#122104016#Basic courses(Sem 1 and 2)#Engineering Physics II#Prof. S. Raychaudhuri,Prof. V. Ravishankar#1#Video
6#122107036#Basic courses(Sem 1 and 2)#Mathematics II#Dr. Tanuja Srivastava,Prof. H.G. Sharma,Prof. Sunita Gakkhar#1#Video
7#122106025#Basic courses(Sem 1 and 2)#Basic Electronics and Lab#Prof. T.S. Natarajan#1#Video
8#122106033#Basic courses(Sem 1 and 2)#Numerical Analysis and Computer Programming#Prof. P.B. Sunil Kumar#1#Video
9#122102008#Basic courses(Sem 1 and 2)#Materials Science#Prof. S.K. Gupta#1#Video
10#122107037#Basic courses(Sem 1 and 2)#Mathematics III#Dr. Tanuja Srivastava,Prof. P.N. Agrawal#1#Video
11#122108038#Basic courses(Sem 1 and 2)#Concept of Management and Evolution of Management thought#Prof. K.B. Akhilesh#1#Video
12#105105108#Civil Engineering#Strength of Materials#Prof. S.K. Bhattacharyya#1#Video
13#105101082#Civil Engineering#Fluid Mechanics#Dr. T.I. Eldho#1#Video
14#105104101#Civil Engineering#Surveying#Dr. Bharat Lohani#1#Video
15#105105106#Civil Engineering#Engineering Geology#Dr. Debasis Roy#1#Video
16#105102088#Civil Engineering#Civil Engineering - Building materials and Construction#Dr. B. Bhattacharjee#1#Video
17#105107121#Civil Engineering#Modern Surveying Techniques#Prof. S.K. Ghosh#1#Video
18#105105107#Civil Engineering#Introduction to Transportation Engineering#Dr. Bhargab Maitra,Dr. K.S. Reddy#1#Video
19#105101086#Civil Engineering#Structural Analysis II#Dr. P. Banerji#1#Video
20#105106118#Civil Engineering#Pre-stressed Concrete Structures#Dr. Amlan Kumar Sengupta,Prof. Devdas Menon#1#Video
21#105104099#Civil Engineering#Environmental Air Pollution#Prof. Mukesh Sharma#1#Video
22#105107123#Civil Engineering#Transportation Engineering II#Prof. Rajat Rastogi#1#Video
23#105103094#Civil Engineering#Design of Steel Structures#Prof. Damodar Maity#1#Video
24#105104103#Civil Engineering#Water Resources Engineering#Prof. Rajesh Srivastava,Dr. Pranab K Mohapatra#1#Video
25#105106119#Civil Engineering#Water and Waste Water Engineering#Prof. Ligy Philip,Prof. C. Venkobachar,Prof. B.S. Murty#1#Video
26#105107120#Civil Engineering#Foundation Engineering#Prof. Mahendra Singh,Prof. N.K. Samadhiya,Prof. Priti Maheswari#1#Video
27#105101084#Civil Engineering#Soil Mechanics#Dr. B.V.S. Viswanadham#1#Video
28#105103096#Civil Engineering#Hydraulics#Prof. Arup Kumar Sharma#1#Video
29#105106116#Civil Engineering#Mechanics of solids#Prof. M.S. Sivakumar#1#Video
30#106101060#Computer Science and  Engineering#Design and Analysis of Algorithms#Prof. Abhiram G Ranade,Prof. Ajit A Diwan,Prof. Sundar Viswanathan#1#Video
31#106101061#Computer Science and  Engineering#Software Engineering#Prof. Rushikesh K Joshi,Prof. Umesh Bellur,Prof. N.L. Sarda#1#Video
32#106102064#Computer Science and  Engineering#Data Structures And Algorithms#Prof. Naveen Garg#1#Video
33#106102067#Computer Science and  Engineering#Principles of Programming Languages#Prof. S. Arun Kumar#1#Video
34#106102062#Computer Science and  Engineering#Computer Architecture#Prof. Anshul Kumar#1#Video
35#106104074#Computer Science and  Engineering#Introduction to Problem Solving and Programming#Prof. D. Gupta#1#Video
36#106105077#Computer Science and  Engineering#Artificial Intelligence#Prof. Anupam Basu,Prof. S. Sarkar#1#Video
37#106105081#Computer Science and  Engineering#Computer Networks#Prof. Sujoy Ghosh#1#Video
38#106105082#Computer Science and  Engineering#Data Communication#Prof. Ajit Pal#1#Video
39#106105084#Computer Science and  Engineering#Internet Technology#Prof. Indranil Sengupta#1#Video
40#106106090#Computer Science and  Engineering#Computer Graphics#Prof. Sukhendu Das#1#Video
41#106106093#Computer Science and  Engineering#Database Design#Prof. D. Janaki Ram,Dr. S. Srinath#1#Video
42#106106094#Computer Science and  Engineering#Discrete Mathematical Structures#Prof. Kamala Krithivasan#1#Video
43#106108102#Computer Science and  Engineering#System Analysis and Design#Prof. V. Rajaraman#1#Video
44#106102065#Computer Science and  Engineering#Introduction to Computer Graphics#Prof. Prem K Kalra#1#Video
45#106105079#Computer Science and  Engineering#Artificial Intelligence(Prof.P.Dasgupta)#Prof. P. Dasgupta#1#Video
46#106106092#Computer Science and  Engineering#Computer Organization#Prof. S. Raman#1#Video
47#108101037#Electrical Engineering#Control Engineering#Prof. S.D. Agashe#1#Video
48#108101038#Electrical Engineering#Power Electronics#Prof. B.G. Fernandes,Prof. Kishore Chatterjee#1#Video
49#108102042#Electrical Engineering#Circuit Theory#Prof. S.C. Dutta Roy#1#Video
50#108102045#Electrical Engineering#Embedded Systems#Prof. Santanu Chaudhary#1#Video
51#108104049#Electrical Engineering#Intelligent Systems and Control#Prof. Laxmidhar Behera#1#Video
52#108104052#Electrical Engineering#Power Systems Operation and Control#Dr. S.N. Singh#1#Video
53#108108076#Electrical Engineering#Basic Electrical Technology#Prof. L. Umanand#1#Video
54#108105054#Electrical Engineering#&Chaos, Fractals && Dynamic Systems&#Prof. S. Banerjee#1#Video
55#108105058#Electrical Engineering#&Energy Resources && Technology&#Prof. S. Banerjee#1#Video
56#108105060#Electrical Engineering#Illumination Engineering#Prof. N.K. Kishore#1#Video
57#108105062#Electrical Engineering#Industrial Automation and Control#Prof. S. Mukhopadhyay,Prof. S. Sen#1#Video
58#108105064#Electrical Engineering#Industrial Instrumentation#Prof. Alok Barua#1#Video
59#108105067#Electrical Engineering#Power System Analysis#Prof. A.K. Sinha#1#Video
60#108106073#Electrical Engineering#Electromagnetic Fields#Prof. Harishankar Ramachandran#1#Video
61#108108077#Electrical Engineering#Industrial Drives - Power Electronics#Prof. K. Gopakumar#1#Video
62#108106075#Electrical Engineering#Networks and Systems#Prof. V.G.K. Murti#1#Video
63#108105065#Electrical Engineering#Networks Signals and Systems#Prof. T.K. Basu#1#Video
64#108102047#Electrical Engineering#Power System Generation, Transmission and Distribution (Encapsulated from earlier Video)#Prof. D.P. Kothari#1#Video
65#108106068#Electrical Engineering#Analog ICs#Prof. K. Radhakrishna Rao#1#Video
66#108106069#Electrical Engineering#Digital Integrated Circuits#Prof. Amitava Dasgupta#1#Video
67#117104074#&Electronics && Communication Engineering&#Signals and Systems#Prof. K.S. Venkatesh#1#Video
68#117101056#&Electronics && Communication Engineering&#Transmission Lines and EM Waves#Prof. R.K. Shevgaonkar#1#Video
69#117101050#&Electronics && Communication Engineering&#Broadband Networks: Concepts and Technology#Prof. Abhay Karandikar#1#Video
70#117102060#&Electronics && Communication Engineering&#Digital Signal Processing#Prof. S.C. Dutta Roy#1#Video
71#117101053#&Electronics && Communication Engineering&#Information Theory and Coding#Prof. S.N. Merchant#1#Video
72#117102059#&Electronics && Communication Engineering&#Communication Engineering#Prof. Surendra Prasad#1#Video
73#117102062#&Electronics && Communication Engineering&#Wireless Communication#Prof. Ranjan Bose#1#Video
74#117103063#&Electronics && Communication Engineering&#Basic Electronics#Prof. Chitralekha Mahanta#1#Video
75#117105085#&Electronics && Communication Engineering&#Probability and Random Processes#Prof. Mrityunjoy Chakraborty#1#Video
76#117105075#&Electronics && Communication Engineering&#Adaptive Signal Processing#Prof. Mrityunjoy Chakraborty#1#Video
77#117106086#&Electronics && Communication Engineering&#Digital Circuits and Systems#Prof. S. Srinivasan#1#Video
78#117105079#&Electronics && Communication Engineering&#Digital Image Processing#Prof. P.K. Biswas#1#Video
79#117105081#&Electronics && Communication Engineering&#&Digital Voice && Picture Communication&#Prof. Somnath Sengupta#1#Video
80#117106089#&Electronics && Communication Engineering&#High Speed Devices and Circuits#Prof. K.N. Bhat#1#Video
81#117106091#&Electronics && Communication Engineering&#Solid State Devices#Prof. S. Karmalkar#1#Video
82#117106092#&Electronics && Communication Engineering&#VLSI Circuits#Prof. S. Srinivasan#1#Video
83#117105080#&Electronics && Communication Engineering&#Digital Systems Design#Prof. D. Roychoudhury#1#Video
84#117106087#&Electronics && Communication Engineering&#Electronics for Analog Signal Processing - I#Prof. K. Radhakrishna Rao#1#Video
85#117106088#&Electronics && Communication Engineering&#Electronics for Analog Signal Processing - II#Prof. K. Radhakrishna Rao#1#Video
86#117101051#&Electronics && Communication Engineering&#Digital Communication#Prof. Bikash Kumar Dey#1#Video
87#117105082#&Electronics && Communication Engineering&#MEMS and Microsystems#Prof. Santiram Kal#1#Video
88#112101095#Mechanical Engineering#Advanced Strength of Materials#Prof. S.K. Maiti#1#Video
89#112101097#Mechanical Engineering#Heat and Mass Transfer#Prof. U.N. Gaitonde,Prof. S.P. Sukhatme#1#Video
90#112101099#Mechanical Engineering#Robotics#Prof. C. Amarnath,Prof. B. Seth,Prof. K. Kurien Issac,Prof. P.S. Gandhi,Prof. P. Seshu#1#Video
91#112102106#Mechanical Engineering#Project and Production Management#Prof. Arun Kanda#1#Video
92#112102101#Mechanical Engineering#Computer Aided Design and Manufacturing#Prof. Anoop Chawla,Prof. P.V. Madhusudan Rao#1#Video
93#112103108#Mechanical Engineering#Engineering Mechanics#Dr. G. Saravana Kumar,Prof. U.S. Dixit#1#Video
